cites,doi,results
24,"%22Diagnosis%20of%20non-consensus%20transient%20ischaemic%20attacks%20with%20focal,%20negative,%20and%20non-progressive%20symptoms:%20population-based%20validation%20by%20investigation%20and%20prognosis%22",1
255,Identification%20of%20vulnerable%20plaques%20and%20patients%20by%20intracoronary%20near-infrared%20spectroscopy%20and%20ultrasound%20(PROSPECT%20II):%20a%20prospective%20natural%20history%20study,1
282,"%22Azithromycin%20for%20community%20treatment%20of%20suspected%20COVID-19%20in%20people%20at%20increased%20risk%20of%20an%20adverse%20clinical%20course%20in%20the%20UK%20(PRINCIPLE):%20a%20randomised,%20controlled,%20open-label,%20adaptive%20platform%20trial%22",1
132,Evaluating%20Progestogens%20for%20Preventing%20Preterm%20birth%20International%20Collaborative%20(EPPPIC):%20meta-analysis%20of%20individual%20participant%20data%20from%20randomised%20controlled%20trials,2
345,The%20first%20and%20second%20waves%20of%20the%20COVID-19%20pandemic%20in%20Africa:%20a%20cross-sectional%20study,1
731,Efficacy%20of%20ChAdOx1%20nCoV-19%20(AZD1222)%20vaccine%20against%20SARS-CoV-2%20variant%20of%20concern%20202012/01%20(B.1.1.7):%20an%20exploratory%20analysis%20of%20a%20randomised%20controlled%20trial,10
33,"%22Effect%20of%20infusion%20set%20replacement%20intervals%20on%20catheter-related%20bloodstream%20infections%20(RSVP):%20a%20randomised,%20controlled,%20equivalence%20(central%20venous%20access%20device)%E2%80%93non-inferiority%20(peripheral%20arterial%20catheter)%20trial%22",1
197,"%22Vagus%20nerve%20stimulation%20paired%20with%20rehabilitation%20for%20upper%20limb%20motor%20function%20after%20ischaemic%20stroke%20(VNS-REHAB):%20a%20randomised,%20blinded,%20pivotal,%20device%20trial%22",10
460,Pharmacological%20blood%20pressure%20lowering%20for%20primary%20and%20secondary%20prevention%20of%20cardiovascular%20disease%20across%20different%20levels%20of%20blood%20pressure:%20an%20individual%20participant-level%20data%20meta-analysis,1
378,"%22Ethnic%20differences%20in%20SARS-CoV-2%20infection%20and%20COVID-19-related%20hospitalisation,%20intensive%20care%20unit%20admission,%20and%20death%20in%2017%20million%20adults%20in%20England:%20an%20observational%20cohort%20study%20using%20the%20OpenSAFELY%20platform%22",1
20,New%20dimensions%20for%20hospital%20services%20and%20early%20detection%20of%20disease:%20a%20Review%20from%20the%C2%A0Lancet%C2%A0Commission%20into%20liver%20disease%20in%20the%20UK,1
324,Association%20of%20metabolic%E2%80%93bariatric%20surgery%20with%20long-term%20survival%20in%20adults%20with%20and%20without%20diabetes:%20a%20one-stage%20meta-analysis%20of%20matched%20cohort%20and%20prospective%20controlled%20studies%20with%20174%E2%80%89772%20participants,1
204,"%22Effects%20of%20nurse-to-patient%20ratio%20legislation%20on%20nurse%20staffing%20and%20patient%20mortality,%20readmissions,%20and%20length%20of%20stay:%20a%20prospective%20study%20in%20a%20panel%20of%20hospitals%22",1
313,"%22Efficacy%20and%20safety%20of%20voclosporin%20versus%20placebo%20for%20lupus%20nephritis%20(AURORA%201):%20a%20double-blind,%20randomised,%20multicentre,%20placebo-controlled,%20phase%203%20trial%22",7
387,Ovarian%20cancer%20population%20screening%20and%20mortality%20after%20long-term%20follow-up%20in%20the%20UK%20Collaborative%20Trial%20of%20Ovarian%20Cancer%20Screening%20(UKCTOCS):%20a%20randomised%20controlled%20trial,1
118,"%22Comparing%20real-time%20and%20intermittently%20scanned%20continuous%20glucose%20monitoring%20in%20adults%20with%20type%201%20diabetes%20(ALERTT1):%20a%206-month,%20prospective,%20multicentre,%20randomised%20controlled%20trial%22",1
241,"%22Filgotinib%20as%20induction%20and%20maintenance%20therapy%20for%20ulcerative%20colitis%20(SELECTION):%20a%20phase%202b/3%20double-blind,%20randomised,%20placebo-controlled%20trial%22",1
201,"%22Aspirin%20versus%20clopidogrel%20for%20chronic%20maintenance%20monotherapy%20after%20percutaneous%20coronary%20intervention%20(HOST-EXAM):%20an%20investigator-initiated,%20prospective,%20randomised,%20open-label,%20multicentre%20trial%22",1
305,Body-mass%20index%20and%20obesity%20in%20urban%20and%20rural%20China:%20findings%20from%20consecutive%20nationally%20representative%20surveys%20during%202004%E2%80%9318,1
520,"%22Efficacy%20and%20safety%20of%20a%20novel%20dual%20GIP%20and%20GLP-1%20receptor%20agonist%20tirzepatide%20in%20patients%20with%20type%202%20diabetes%20(SURPASS-1):%20a%20double-blind,%20randomised,%20phase%203%20trial%22",1
136,"%22Characterisation%20of%20in-hospital%20complications%20associated%20with%20COVID-19%20using%20the%20ISARIC%20WHO%20Clinical%20Characterisation%20Protocol%20UK:%20a%20prospective,%20multicentre%20cohort%20study%22",1
117,"%22Metronomic%20capecitabine%20as%20adjuvant%20therapy%20in%20locoregionally%20advanced%20nasopharyngeal%20carcinoma:%20a%20multicentre,%20open-label,%20parallel-group,%20randomised,%20controlled,%20phase%203%20trial%22",1
114,Physical%20punishment%20and%20child%20outcomes:%20a%20narrative%20review%20of%20prospective%20studies,1
76,"%22Progressive%20exercise%20compared%20with%20best%20practice%20advice,%20with%20or%20without%20corticosteroid%20injection,%20for%20the%20treatment%20of%20patients%20with%20rotator%20cuff%20disorders%20(GRASP):%20a%20multicentre,%20pragmatic,%202%E2%80%89%C3%97%E2%80%892%20factorial,%20randomised%20controlled%20trial%22",5
279,Estimating%20global%20and%20regional%20disruptions%20to%20routine%20childhood%20vaccine%20coverage%20during%20the%20COVID-19%20pandemic%20in%202020:%20a%20modelling%20study,1
118,Parental%20education%20and%20inequalities%20in%20child%20mortality:%20a%20global%20systematic%20review%20and%20meta-analysis,1
157,Estimating%20the%20cause-specific%20relative%20risks%20of%20non-optimal%20temperature%20on%20daily%20mortality:%20a%20two-part%20modelling%20approach%20applied%20to%20the%20Global%20Burden%20of%20Disease%20Study,1
204,"%22Global,%20regional,%20and%20national%20estimates%20and%20trends%20in%20stillbirths%20from%202000%20to%202019:%20a%20systematic%20assessment%22",1
272,"%22Global,%20regional,%20and%20national%20progress%20towards%20Sustainable%20Development%20Goal%203.2%20for%20neonatal%20and%20child%20health:%20all-cause%20and%20cause-specific%20mortality%20findings%20from%20the%20Global%20Burden%20of%20Disease%20Study%202019%22",1
265,Reactogenicity%20and%20immunogenicity%20after%20a%20late%20second%20dose%20or%20a%20third%20dose%20of%20ChAdOx1%20nCoV-19%20in%20the%20UK:%20a%20substudy%20of%20two%20randomised%20controlled%20trials%20(COV001%20and%20COV002),1
137,Age-stratified%20and%20blood-pressure-stratified%20effects%20of%20blood-pressure-lowering%20pharmacotherapy%20for%20the%20prevention%20of%20cardiovascular%20disease%20and%20death:%20an%20individual%20participant-level%20data%20meta-analysis,1
113,Fixed-dose%20combination%20therapies%20with%20and%20without%20aspirin%20for%20primary%20prevention%20of%20cardiovascular%20disease:%20an%20individual%20participant%20data%20meta-analysis,1
82,"%22Daily%20testing%20for%20contacts%20of%20individuals%20with%20SARS-CoV-2%20infection%20and%20attendance%20and%20SARS-CoV-2%20transmission%20in%20English%20secondary%20schools%20and%20colleges:%20an%20open-label,%20cluster-randomised%20trial%22",1
98,"%22Unguided%20de-escalation%20from%20ticagrelor%20to%20clopidogrel%20in%20stabilised%20patients%20with%20acute%20myocardial%20infarction%20undergoing%20percutaneous%20coronary%20intervention%20(TALOS-AMI):%20an%20investigator-initiated,%20open-label,%20multicentre,%20non-inferiority,%20randomised%20trial%22",1
1151,Effectiveness%20of%20mRNA%20BNT162b2%20COVID-19%20vaccine%20up%20to%206%20months%20in%20a%20large%20integrated%20health%20system%20in%20the%20USA:%20a%20retrospective%20cohort%20study,1
41,"%22Study%20of%20mirtazapine%20for%20agitated%20behaviours%20in%20dementia%20(SYMBAD):%20a%20randomised,%20double-blind,%20placebo-controlled%20trial%22",1
194,Worldwide%20trends%20in%20the%20burden%20of%20asthma%20symptoms%20in%20school-aged%20children:%20Global%20Asthma%20Network%20Phase%20I%20cross-sectional%20study,7
909,The%202021%20report%20of%20the%C2%A0Lancet%C2%A0Countdown%20on%20health%20and%20climate%20change:%20code%20red%20for%20a%20healthy%20future,7
162,Global%20perspective%20of%20familial%20hypercholesterolaemia:%20a%20cross-sectional%20study%20from%20the%20EAS%20Familial%20Hypercholesterolaemia%20Studies%20Collaboration%20(FHSC),1
123,"%22Non-pharmaceutical%20interventions,%20vaccination,%20and%20the%20SARS-CoV-2%20delta%20variant%20in%20England:%20a%20mathematical%20modelling%20study%22",1
286,Evaluation%20of%20geriatric%20assessment%20and%20management%20on%20the%20toxic%20effects%20of%20cancer%20treatment%20(GAP70+):%20a%20cluster-randomised%20study,1
48,"%22Adjustable%20intragastric%20balloon%20for%20treatment%20of%20obesity:%20a%20multicentre,%20open-label,%20randomised%20clinical%20trial%22",1
61,"%22Posterior%20left%20pericardiotomy%20for%20the%20prevention%20of%20atrial%20fibrillation%20after%20cardiac%20surgery:%20an%20adaptive,%20single-centre,%20single-blind,%20randomised,%20controlled%20trial%22",7
209,"%22Angiographic%20quantitative%20flow%20ratio-guided%20coronary%20intervention%20(FAVOR%20III%20China):%20a%20multicentre,%20randomised,%20sham-controlled%20trial%22",2
47,The%20evolution%20of%20the%20Italian%20National%20Health%20Service,1
114,"%22Safety%20and%20immunogenicity%20of%20concomitant%20administration%20of%20COVID-19%20vaccines%20(ChAdOx1%20or%20BNT162b2)%20with%20seasonal%20influenza%20vaccines%20in%20adults%20in%20the%20UK%20(ComFluCOV):%20a%20multicentre,%20randomised,%20controlled,%20phase%204%20trial%22",1
225,"%22Rivaroxaban%20versus%20no%20anticoagulation%20for%20post-discharge%20thromboprophylaxis%20after%20hospitalisation%20for%20COVID-19%20(MICHELLE):%20an%20open-label,%20multicentre,%20randomised,%20controlled%20trial%22",1
88,"%22Safety%20and%20efficacy%20of%20subcutaneous%20ianalumab%20(VAY736)%20in%20patients%20with%20primary%20Sj%C3%B6gren%27s%20syndrome:%20a%20randomised,%20double-blind,%20placebo-controlled,%20phase%202b%20dose-finding%20trial%22",1
205,harmacotherapy%20for%20adults%20with%20overweight%20and%20obesity:%20a%20systematic%20review%20and%20network%20meta-analysis%20of%20randomised%20controlled%20trials,1
6,"%22An%20educational%20programme%20in%20neonatal%20intensive%20care%20units%20(SEPREVEN):%20a%20stepped-wedge,%20cluster-randomised%20controlled%20trial%22",1
194,Abiraterone%20acetate%20and%20prednisolone%20with%20or%20without%20enzalutamide%20for%20high-risk%20non-metastatic%20prostate%20cancer:%20a%20meta-analysis%20of%20primary%20results%20from%20two%20randomised%20controlled%20phase%203%20trials%20of%20the%20STAMPEDE%20platform%20protocol,1
38,"%22Hyperimmune%20immunoglobulin%20for%20hospitalised%20patients%20with%20COVID-19%20(ITAC):%20a%20double-blind,%20placebo-controlled,%20phase%203,%20randomised%20trial%22",1
46,A%20three-step%20support%20strategy%20for%20relatives%20of%20patients%20dying%20in%20the%20intensive%20care%20unit:%20a%20cluster%20randomised%20trial,1
232,"%22Efficacy,%20durability,%20and%20safety%20of%20intravitreal%20faricimab%20up%20to%20every%2016%20weeks%20for%20neovascular%20age-related%20macular%20degeneration%20(TENAYA%20and%20LUCERNE):%20two%20randomised,%20double-masked,%20phase%203,%20non-inferiority%20trials%22",8
457,"%22Global,%20regional,%20and%20national%20prevalence%20estimates%20of%20physical%20or%20sexual,%20or%20both,%20intimate%20partner%20violence%20against%20women%20in%202018%22",1
132,"%22Efficacy%20and%20safety%20of%20gefapixant,%20a%20P2X3%C2%A0receptor%20antagonist,%20in%20refractory%20chronic%20cough%20and%20unexplained%20chronic%20cough%20(COUGH-1%20and%20COUGH-2):%20results%20from%20two%20double-blind,%20randomised,%20parallel-group,%20placebo-controlled,%20phase%203%20trials%22",1
41,"%22Repeated%20intravenous%20cardiosphere-derived%20cell%20therapy%20in%20late-stage%20Duchenne%20muscular%20dystrophy%20(HOPE-2):%20a%20multicentre,%20randomised,%20double-blind,%20placebo-controlled,%20phase%202%20trial%22",1
22,"%22Population%20health%20outcomes%20in%20Nigeria%20compared%20with%20other%20west%20African%20countries,%201998%E2%80%932019:%20a%20systematic%20analysis%20for%20the%20Global%20Burden%20of%20Disease%20Study%22",1
84,"%22Effectiveness%20and%20cost-effectiveness%20against%20malaria%20of%20three%20types%20of%20dual-active-ingredient%20long-lasting%20insecticidal%20nets%20(LLINs)%20compared%20with%20pyrethroid-only%20LLINs%20in%20Tanzania:%20a%20four-arm,%20cluster-randomised%20trial%22",1
1016,Comparative%20analysis%20of%20the%20risks%20of%20hospitalisation%20and%20death%20associated%20with%20SARS-CoV-2%20omicron%20(B.1.1.529)%20and%20delta%20(B.1.617.2)%20variants%20in%20England:%20a%20cohort%20study,1
145,"%22Safety%20of%20the%20oral%20factor%20XIa%20inhibitor%20asundexian%20compared%20with%20apixaban%20in%20patients%20with%20atrial%20fibrillation%20(PACIFIC-AF):%20a%20multicentre,%20randomised,%20double-blind,%20double-dummy,%20dose-finding%20phase%202%20study%22",1
111,"%22ariation%20in%20the%20COVID-19%20infection%E2%80%93fatality%20ratio%20by%20age,%20time,%20and%20geography%20during%20the%20pre-vaccine%20era:%20a%20systematic%20analysis%22",1
633,"%22Segmentectomy%20versus%20lobectomy%20in%20small-sized%20peripheral%20non-small-cell%20lung%20cancer%20(JCOG0802/WJOG4607L):%20a%20multicentre,%20open-label,%20phase%203,%20randomised,%20controlled,%20non-inferiority%20trial%22",2
314,"%22Abiraterone%20plus%20prednisone%20added%20to%20androgen%20deprivation%20therapy%20and%20docetaxel%20in%20de%20novo%20metastatic%20castration-sensitive%20prostate%20cancer%20(PEACE-1):%20a%20multicentre,%20open-label,%20randomised,%20phase%203%20study%20with%20a%202%E2%80%89%C3%97%E2%80%892%20factorial%20design%22",1
210,"%22Cabotegravir%20for%20the%20prevention%20of%20HIV-1%20in%20women:%20results%20from%20HPTN%20084,%20a%20phase%203,%20randomised%20clinical%20trial%22",1
66,"%22Algorithm-based%20care%20versus%20usual%20care%20for%20the%20early%20recognition%20and%20management%20of%20complications%20after%20pancreatic%20resection%20in%20the%20Netherlands:%20an%20open-label,%20nationwide,%20stepped-wedge%20cluster-randomised%20trial%22",1
212,Remdesivir%20and%20three%20other%20drugs%20for%20hospitalised%20patients%20with%20COVID-19:%20final%20results%20of%20the%20WHO%20Solidarity%20randomised%20trial%20and%20updated%20meta-analyses,2
148,Risankizumab%20as%20induction%20therapy%20for%20Crohn%27s%20disease:%20results%20from%20the%20phase%203%20ADVANCE%20and%20MOTIVATE%20induction%20trials,1
17,ntrauterine%20device-related%20uterine%20perforation%20incidence%20and%20risk%20(APEX-IUD):%20a%20large%20multisite%20cohort%20study,1
120,Risk%20of%20myocarditis%20and%20pericarditis%20after%20the%20COVID-19%20mRNA%20vaccination%20in%20the%20USA:%20a%20cohort%20study%20in%20claims%20databases,1
52,"%22Once%20daily%20oral%20relugolix%20combination%20therapy%20versus%20placebo%20in%20patients%20with%20endometriosis-associated%20pain:%20two%20replicate%20phase%203,%20randomised,%20double-blind,%20studies%20(SPIRIT%201%20and%202)%22",1
219,"%22Estimating%20global,%20regional,%20and%20national%20daily%20and%20cumulative%20infections%20with%20SARS-CoV-2%20through%20Nov%2014,%202021:%20a%20statistical%20analysis%22",1
90,"%22Life%20expectancy%20by%20county,%20race,%20and%20ethnicity%20in%20the%20USA,%202000%E2%80%9319:%20a%20systematic%20analysis%20of%20health%20disparities%22",1
90,"%22Effectiveness%20of%20BNT162b2%20vaccine%20against%20SARS-CoV-2%20infection%20and%20severe%20COVID-19%20in%20children%20aged%205%E2%80%9311%20years%20in%20Italy:%20a%20retrospective%20analysis%20of%20January%E2%80%93April,%202022%22",1
168,"%22ntravenous%20tenecteplase%20compared%20with%20alteplase%20for%20acute%20ischaemic%20stroke%20in%20Canada%20(AcT):%20a%20pragmatic,%20multicentre,%20open-label,%20registry-linked,%20randomised,%20controlled,%20non-inferiority%20trial%22",2
87,"%22fficacy%20and%20safety%20of%20abrocitinib%20versus%20dupilumab%20in%20adults%20with%20moderate-to-severe%20atopic%20dermatitis:%20a%20randomised,%20double-blind,%20multicentre%20phase%203%20trial%22",1
194,"%22Baricitinib%20in%20patients%20admitted%20to%20hospital%20with%20COVID-19%20(RECOVERY):%20a%20randomised,%20controlled,%20open-label,%20platform%20trial%20and%20updated%20meta-analysis%22",9
45,"%22Radiation%20doses%20and%20fractionation%20schedules%20in%20non-low-risk%20ductal%20carcinoma%20in%20situ%20in%20the%20breast%20(BIG%203%E2%80%9307/TROG%2007.01):%20a%20randomised,%20factorial,%20multicentre,%20open-label,%20phase%203%20study%22",1
37,"%22Safety%20and%20efficacy%20of%20mitapivat,%20an%20oral%20pyruvate%20kinase%20activator,%20in%20adults%20with%20non-transfusion%20dependent%20%CE%B1-thalassaemia%20or%20%CE%B2-thalassaemia:%20an%20open-label,%20multicentre,%20phase%202%20study%22",2
15,The%20multispeciality%20approach%20to%20the%20management%20of%20localised%20kidney%20cancer,1
54,Rehabilitation%20versus%20surgical%20reconstruction%20for%20non-acute%20anterior%20cruciate%20ligament%20injury%20(ACL%20SNNAP):%20a%20pragmatic%20randomised%20controlled%20trial,1
67,"%22Comparison%20of%20amitriptyline%20supplemented%20with%20pregabalin,%20pregabalin%20supplemented%20with%20amitriptyline,%20and%20duloxetine%20supplemented%20with%20pregabalin%20for%20the%20treatment%20of%20diabetic%20peripheral%20neuropathic%20pain%20(OPTION-DM):%20a%20multicentre,%20double-blind,%20randomised%20crossover%20trial%22",1
45,Sex-specific%20evaluation%20and%20redevelopment%20of%20the%20GRACE%20score%20in%20non-ST-segment%20elevation%20acute%20coronary%20syndromes%20in%20populations%20from%20the%20UK%20and%20Switzerland:%20a%20multinational%20analysis%20with%20external%20cohort%20validation,1
38,Angiotensin%20receptor%20blockers%20and%20%CE%B2%20blockers%20in%20Marfan%20syndrome:%20an%20individual%20patient%20data%20meta-analysis%20of%20randomised%20trials,1
30,"%22Linzagolix%20with%20and%20without%20hormonal%20add-back%20therapy%20for%20the%20treatment%20of%20symptomatic%20uterine%20fibroids:%20two%20randomised,%20placebo-controlled,%20phase%203%20trials%22",1
51,"%22Combined%20nivolumab%20and%20ipilimumab%20with%20or%20without%20stereotactic%20body%20radiation%20therapy%20for%20advanced%20Merkel%20cell%20carcinoma:%20a%20randomised,%20open%20label,%20phase%202%20trial%22",1
47,"%22Adjuvant%20nivolumab%20plus%20ipilimumab%20or%20nivolumab%20alone%20versus%20placebo%20in%20patients%20with%20resected%20stage%20IV%20melanoma%20with%20no%20evidence%20of%20disease%20(IMMUNED):%20final%20results%20of%20a%20randomised,%20double-blind,%20phase%202%20trial%22",1
66,Artificial%20intelligence-guided%20screening%20for%20atrial%20fibrillation%20using%20electrocardiogram%20during%20sinus%20rhythm:%20a%20prospective%20non-randomised%20interventional%20trial,1
20,"%22Comparing%20dedicated%20and%20designated%20approaches%20to%20integrating%20task-shared%20psychological%20interventions%20into%20chronic%20disease%20care%20in%20South%20Africa:%20a%20three-arm,%20cluster%20randomised,%20multicentre,%20open-label%20trial%22",1
108,"%22Cardiovascular%20outcomes%20in%20adults%20with%20hypertension%20with%20evening%20versus%20morning%20dosing%20of%20usual%20antihypertensives%20in%20the%20UK%20(TIME%20study):%20a%20prospective,%20randomised,%20open-label,%20blinded-endpoint%20clinical%20trial%22",1
17,"%229%20months%20of%20delamanid,%20linezolid,%20levofloxacin,%20and%20pyrazinamide%20versus%20conventional%20therapy%20for%20treatment%20of%20fluoroquinolone-sensitive%20multidrug-resistant%20tuberculosis%20(MDR-END):%20a%20multicentre,%20randomised,%20open-label%20phase%202/3%20non-inferiority%20trial%20in%20South%20Korea%22",1
74,"%22Intensive%20blood%20pressure%20control%20after%20endovascular%20thrombectomy%20for%20acute%20ischaemic%20stroke%20(ENCHANTED2/MT):%20a%20multicentre,%20open-label,%20blinded-endpoint,%20randomised%20controlled%20trial%22",1
13,Balloon%20catheters%20versus%20vaginal%20prostaglandins%20for%20labour%20induction%20(CPI%20Collaborative):%20an%20individual%20participant%20data%20meta-analysis%20of%20randomised%20controlled%20trials,1
2,"%22Routine%20sterile%20glove%20and%20instrument%20change%20at%20the%20time%20of%20abdominal%20wound%20closure%20to%20prevent%20surgical%20site%20infection%20(ChEETAh):%20a%20pragmatic,%20cluster-randomised%20trial%20in%20seven%20low-income%20and%20middle-income%20countries%22",5
41,Bivalirudin%20plus%20a%20high-dose%20infusion%20versus%20heparin%20monotherapy%20in%20patients%20with%20ST-segment%20elevation%20myocardial%20infarction%20undergoing%20primary%20percutaneous%20coronary%20intervention:%20a%20randomised%20trial,1
25,The%20evolving%20landscape%20of%20pulmonary%20arterial%20hypertension%20clinical%20trials,1
94,Human%20monkeypox%20virus%20infection%20in%20women%20and%20non-binary%20individuals%20during%20the%202022%20outbreaks:%20a%20global%20case%20series,1
8,"%22The%20impact%20of%20urbanisation%20on%20the%20cardiometabolic%20health%20of%20Indigenous%20Brazilian%20peoples:%20a%20systematic%20review%20and%20meta-analysis,%20and%20data%20from%20the%20Brazilian%20Health%20registry%22",1
34,"%22Emraclidine,%20a%20novel%20positive%20allosteric%20modulator%20of%20cholinergic%20M4%20receptors,%20for%20the%20treatment%20of%20schizophrenia:%20a%20two-part,%20randomised,%20double-blind,%20placebo-controlled,%20phase%201b%20trial%22",1
60,"%22Bimekizumab%20in%20patients%20with%20psoriatic%20arthritis,%20naive%20to%20biologic%20treatment:%20a%20randomised,%20double-blind,%20placebo-controlled,%20phase%203%20trial%20(BE%20OPTIMAL)%22",1
184,"%22Trastuzumab%20deruxtecan%20versus%20trastuzumab%20emtansine%20in%20patients%20with%20HER2-positive%20metastatic%20breast%20cancer:%20updated%20results%20from%20DESTINY-Breast03,%20a%20randomised,%20open-label,%20phase%203%20trial%22",1
119,Novel%20and%20emerging%20treatments%20for%20major%20depression,1
42,Machine%20learning-based%20marker%20for%20coronary%20artery%20disease:%20derivation%20and%20validation%20in%20two%20longitudinal%20cohorts,1
14,"%22Safety,%20tolerability,%20and%20immunogenicity%20of%20the%20chimpanzee%20adenovirus%20type%203-vectored%20Marburg%20virus%20(cAd3-Marburg)%20vaccine%20in%20healthy%20adults%20in%20the%20USA:%20a%20first-in-human,%20phase%201,%20open-label,%20dose-escalation%20trial%22",1
18,"%222%20days%20versus%205%20days%20of%20postoperative%20antibiotics%20for%20complex%20appendicitis:%20a%20pragmatic,%20open-label,%20multicentre,%20non-inferiority%20randomised%20trial%22",1
73,"%22Pregnancy%20outcomes%20and%20vaccine%20effectiveness%20during%20the%20period%20of%20omicron%20as%20the%20variant%20of%20concern,%20INTERCOVID-2022:%20a%20multinational,%20observational%20study%22",1
71,"%22The%20effect%20of%20higher%20protein%20dosing%20in%20critically%20ill%20patients%20with%20high%20nutritional%20risk%20(EFFORT%20Protein):%20an%20international,%20multicentre,%20pragmatic,%20registry-based%20randomised%20trial%22",1
12,"%22Combination%20of%20gefitinib%20and%20methotrexate%20to%20treat%20tubal%20ectopic%20pregnancy%20(GEM3):%20a%20multicentre,%20randomised,%20double-blind,%20placebo-controlled%20trial%22",4
81,"%22Secukinumab%20in%20moderate-to-severe%20hidradenitis%20suppurativa%20(SUNSHINE%20and%20SUNRISE):%20week%2016%20and%20week%2052%20results%20of%20two%20identical,%20multicentre,%20randomised,%20placebo-controlled,%20double-blind%20phase%203%20trials%22",1
139,Past%20SARS-CoV-2%20infection%20protection%20against%20re-infection:%20a%20systematic%20review%20and%20meta-analysis,2
13,"%22ffectiveness%20of%20a%20non-physician%20community%20health-care%20provider-led%20intensive%20blood%20pressure%20intervention%20versus%20usual%20care%20on%20cardiovascular%20disease%20(CRHCP):%20an%20open-label,%20blinded-endpoint,%20cluster-randomised%20trial%22",1
45,"%22Baricitinib%20for%20systemic%20lupus%20erythematosus:%20a%20double-blind,%20randomised,%20placebo-controlled,%20phase%203%20trial%20(SLE-BRAVE-I)%22",6
22,"%22Efficacy%20and%20safety%20of%20garadacimab,%20a%20factor%20XIIa%20inhibitor%20for%20hereditary%20angioedema%20prevention%20(VANGUARD):%20a%20global,%20multicentre,%20randomised,%20double-blind,%20placebo-controlled,%20phase%203%20trial%22",1
60,"%22Etrasimod%20as%20induction%20and%20maintenance%20therapy%20for%20ulcerative%20colitis%20(ELEVATE):%20two%20randomised,%20double-blind,%20placebo-controlled,%20phase%203%20studies%22",1
7,"%22mmunogenicity,%20safety,%20and%20tolerability%20of%20a%20recombinant%20measles-vectored%20Lassa%20fever%20vaccine:%20a%20randomised,%20placebo-controlled,%20first-in-human%20trial%22",1
54,"%22ssessing%20COVID-19%20pandemic%20policies%20and%20behaviours%20and%20their%20economic%20and%20educational%20trade-offs%20across%20US%20states%20from%20Jan%201,%202020,%20to%20July%2031,%202022:%20an%20observational%20analysis%22",1
20,"%22Efficacy%20and%20safety%20of%20fitusiran%20prophylaxis%20in%20people%20with%20haemophilia%20A%20or%20haemophilia%20B%20with%20inhibitors%20(ATLAS-INH):%20a%20multicentre,%20open-label,%20randomised%20phase%203%20trial%22",1
2058,Age-related%20macular%20degeneration,10
38,"%22Efficacy%20and%20safety%20of%20ritlecitinib%20in%20adults%20and%20adolescents%20with%20alopecia%20areata:%20a%20randomised,%20double-blind,%20multicentre,%20phase%202b%E2%80%933%20trial%22",1
